name,city,type,website,instagram,email
Petit Bateau,Paris,clothes,https://stores.petit-bateau.com/france/paris/116-avenue-des-champs-elysees,,
Jamini,Paris,clothes,https://www.jaminidesign.com/,https://www.instagram.com/jaminidesign/,
Lili Cabas,Paris,clothes,https://www.lilicabas.com/,https://www.instagram.com/lilicabas/,
Sunshine,Paris,clothes,https://www.sunshine.fr/,,
Fusalp,Paris,clothes,https://fusalp.com/ue/boutique-fusalp/6-fusalp-saint-honoré-paris,https://www.instagram.com/fusalp/?hl=fr,
Bleu de Paname,Paris,clothes,https://bluedepaname.com/,,
Cécile et Jeanne,Paris,jewelry,https://www.cecilejeanne.com,https://www.instagram.com/cecilejeanne_paris/,
La Route du Tibet,Paris,clothes,https://laroutedutibet.com/,https://instagram.com/laroutedutibet,
Tiffany & Company,Paris,jewelry,https://www.tiffany.fr/,https://www.instagram.com/tiffanyandco,
Boutique Zen,Paris,clothes,https://www.boutiquezen.com/,https://www.instagram.com/boutiquezen/,
Bourgine,Paris,clothes,https://www.bourgine.net/,https://instagram.com/bourgine,
Hollington,Paris,clothes,https://hollington.eu,,
Plus que Parfait,Paris,clothes,https://www.facebook.com/Plus-que-parfaitd%C3%A9pot-vente-homme-151672118224649/,,
Brandy Melville,Paris,clothes,http://brandymelville-france.com,,
Bobbies,Paris,shoes,https://bobbies.com/,https://www.instagram.com/bobbies/,
Fusalp,Paris,clothes,https://www.fusalp.com/fr/,https://www.instagram.com/fusalp/?hl=fr,
Petit Bateau,Paris,clothes,https://stores.petit-bateau.com/france/paris/55-rue-du-commerce,,
Jean Marc Philippe,Paris,clothes,https://jeanmarcphilippe.com/,https://www.instagram.com/jmp_paris/,
Ignace,Paris,jewelry,https://www.ignace-paris.com,,
Repetto,Paris,shoes,https://www.repetto.fr,https://www.instagram.com/repettoparis,
Xavier Penichot,Paris,jewelry,https://www.lechocolat-alainducasse.com/," https://www.instagram.com/lechocolatalainducasse/",
La Mandragore,Paris,jewelry,http://www.la-mandragore.com,,
Karakter,Paris,furniture,https://www.karakter-copenhagen.com,https://www.instagram.com/karaktercopenhagen,
The Vintage,Paris,clothes,https://www.ledressingideal.fr/,https://www.instagram.com/anne_dressingideal/,
BA&SH,Paris,clothes,https://ba-sh.com,,
Leroy Merlin,Paris,doityourself,https://www.leroymerlin.fr/magasins/rosa-parks-paris-19.html,,
Faguo,Paris,clothes,https://www.faguo-store.com/fr/boutique/409-abbesses-faguo,,
Márcia de Carvallo - Chaussettes Orphelines,Paris,clothes,https://chaussettesorphelines.com/,https://www.instagram.com/chaussettesorphelines/,
Petit Bateau,Paris,clothes,https://stores.petit-bateau.com/france/paris/33-rue-du-four,,
Lassaussois,Paris,jewelry,https://www.boutiquelesmontres.com,https://www.instagram.com/p/DDHVTycxNYR/,
Tod's,Paris,shoes,http://www.tods.com,,
Élie Bleu,Paris,furniture,https://eliebleu.com,https://www.instagram.com/eliebleuofficial/,
Jacquemus,Paris,clothes,https://jacquemus.com/,https://www.instagram.com/jacquemus/,
Alberta Ferreti,Paris,clothes,https://www.albertaferretti.com,https://www.instagram.com/albertaferretti,
Kilo-Shop,Paris,clothes,https://fmws.fr,,
Guerrisol,Paris,clothes,https://guerrisol.shop/fr/,,
"Sous les Pavés, le Vintage",Paris,clothes,https://www.souslespaveslevintage.com,,
Tabio,Paris,clothes,https://www.tabio.fr,https://instagram.com/tabioparis/,
Size Factory,Paris,clothes,https://www.size-factory.com/magasin-grande-taille-homme-paris15e,,
Taï Futons,Paris,furniture,https://www.taifutons.com,,
Front de mode,Paris,clothes,https://fr-fr.facebook.com/frontdemode/,,
Maison Noël,Paris,furniture,http://maisonnoelparis.com/,,
Maison Ernest,Paris,shoes,https://www.maisonernest.com,https://www.instagram.com/maisonernest/?hl=fr,
Babyzen Store Officiel NatalMarket Paris 17,Paris,clothes,https://natalmarket.com/,,
Brut,Paris,clothes,https://brut-clothing.com/,https://www.instagram.com/brut_archives/,
Gaijin,Paris,clothes,https://gaijinparis.com/,,
Salomon,Paris,clothes,https://stores.salomon.com/shop/126145/salomon-store-paris,,
Le Colonel Moutarde,Paris,clothes,https://www.lecolonelmoutarde.com,https://www.instagram.com/lecolonel_official/?hl=fr,
Métal Flaque,Paris,clothes,https://www.metalflaque.fr,https://www.instagram.com/metal_flaque/,
Leroy Merlin,Paris,doityourself,https://www.leroymerlin.fr/v3/p/magasins/la-madeleine-l1501415834,,
Hast Batignolles,Paris,clothes,https://www.hast.fr/,https://www.instagram.com/hastparis/,
Veja,Paris,shoes,https://www.veja-store.com/,https://www.instagram.com/veja/,
L'Habilleur,Paris,clothes,http://www.lhabilleur.fr,,
Carole Saint Germès,Paris,jewelry,https://carolesaintgermes.com/,https://www.instagram.com/carolesaintgermes/,
L'Appartement Français,Paris,clothes,https://www.lappartementfrancais.fr/content/10-boutique-made-in-France-paris,https://www.instagram.com/lappartementfrancais/,
Aaron's,Paris,furniture,https://locations.aarons.com/us/tx/paris/3586-lamar-ave,https://www.instagram.com/aarons/,
Cato,Paris,clothes,https://stores.catofashions.com/tx/paris/3568-lamar-avenue,https://www.instagram.com/catofashions/,
Héroïnes,Paris,clothes,https://heroines.fr,https://www.instagram.com/explore/tags/heroinesattitude/,
K-Way,Paris,clothes,https://k-way.fr,https://www.instagram.com/kway_official,
Vingt et Une Heures Dix,Paris,clothes,https://vingtetuneheuresdix.jewelry/,https://www.instagram.com/vingtetuneheuresdix/?hl=fr,
Top Griff Outlet,Paris,clothes,https://www.topgriff.com/,,
Georges Hobeika,Paris,clothes,https://georgeshobeika.com,https://www.instagram.com/georgeshobeika/?hl=en,
Oh Lumière,Paris,clothes,https://ohlumiere.com/,,
Duvivier Canapés,Paris,furniture,https://www.duviviercanapes.com,https://www.instagram.com/duviviercanapes/,
Balenciaga,Paris,clothes,https://www.balenciaga.com/experience/fr/store/paris-montaigne/,https://www.instagram.com/Balenciaga/,
Bernard Zins,Paris,clothes,https://www.zins.com/,https://www.instagram.com/bernardzins/,
Gavilane,Paris,clothes,https://www.gavilane.com,https://www.instagram.com/gavilaneofficiel/,
Soeur,Paris,clothes,https://www.soeur.com,,
The Vintage Society,Paris,clothes,https://shopvintagesociety.com,,
Petit Bateau,Paris,clothes,"https://stores.petit-bateau.com/france/paris/6,-rue-des-francs-bourgeois",,
Cato,Paris,clothes,https://stores.catofashions.com/tn/paris/1150-mineral-wells-avenue,https://www.instagram.com/catofashions/,
Les Crapoussines,Paris,clothes,http://www.lescrapoussines.fr/,,
Casablanca,Paris,clothes,http://casablanca-vintage.fr/,,
Blou,Paris,furniture,https://www.blou-paris.fr,https://www.instagram.com/blou_paris/?hl=fr,
Maison Linepo,Paris,clothes,https://www.maisonlinepo.com/,https://www.instagram.com/maisonlinepo/,
Colorful standard,Paris,clothes,https://colorfulstandard.com/fr-fr/pages/flagship,https://www.instagram.com/colorfulstandard/,
Petit Bateau,Paris,clothes,https://stores.petit-bateau.com/france/paris/50-rue-des-abbesses,,
Tara Jarmon,Paris,clothes,https://www.tarajarmon.com/fr/,https://www.instagram.com/tarajarmon/,
Emmaüs Alternatives,Paris,clothes,https://www.emmaus-alternatives.org/,https://www.instagram.com/emmaus_alternatives/,
wisp,Paris,clothes,https://wisp-paris.com,https://www.instagram.com/p/CyIi5VtLGeW/,
Bijouterie Argi,Paris,jewelry,http://www.atelierdelalliance.com/,,
Dominique Dahan Bijoux,Paris,jewelry,https://www.dominiquedahan.com/,https://www.instagram.com/dominiquedahanbijoux/,
CEDEO,Paris,doityourself,https://cedeo.fr,,
Belair,Paris,clothes,https://www.belair-paris.fr,https://www.instagram.com/belairparis/,
WeDressFair,Paris,clothes,https://www.wedressfair.fr,https://www.instagram.com/wedressfair/,
Patricia Blanchet,Paris,shoes,https://patriciablanchet.com,https://www.instagram.com/patriciablanchet/?hl=fr,
Ginette NY,Paris,jewelry,https://www.ginette-ny.com,https://www.instagram.com/ginetteny/,
Fred Perry,Paris,clothes,https://www.fredperry.com/eu-fr/shop-finder/paris-temple,https://www.instagram.com/fredperry,
Daphné Dasque,Paris,jewelry,https://daphnedasque.com,,
